==2239== NVPROF is profiling process 2239, command: python resnet.py resnet10
==2239== Profiling application: python resnet.py resnet10
==2239== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
2.143876,0.095105,,,,,,,,,,0.574219,5.896225,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445786,0.007072,,,,,,,,,,0.035889,4.955816,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445818,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445833,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445847,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445860,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445915,0.024992,,,,,,,,,,0.140625,5.494922,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445948,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445961,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445975,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.445989,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446035,0.024640,,,,,,,,,,0.140625,5.573421,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446066,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446079,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446092,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446104,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446667,0.047649,,,,,,,,,,0.281250,5.764197,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446722,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446735,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446748,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446761,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446869,0.092545,,,,,,,,,,0.562500,5.935668,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446969,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446981,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.446995,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447021,0.002816,,,,,,,,,,0.000488,0.169331,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447053,0.006272,,,,,,,,,,0.031250,4.865685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447069,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447082,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447094,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447107,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447678,0.192546,,,,,,,,,,1.125000,5.705820,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447880,0.003008,,,,,,,,,,0.000977,0.317046,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447903,0.001120,,,,,,,,,,0.000977,0.851495,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447912,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.447925,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.448472,0.455909,,,,,,,,,,2.250000,4.819527,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.448936,0.001248,,,,,,,,,,0.000977,0.764162,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.448949,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.448962,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.448974,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.449011,0.022305,,,,,,,,,,0.125000,5.472778,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.449040,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.449052,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.449065,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.449077,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.449616,0.912041,,,,,,,,,,4.500000,4.818348,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.450535,0.001344,,,,,,,,,,0.001953,1.419158,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.450549,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.450562,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.450574,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.451100,1.844690,,,,,,,,,,9.000000,4.764520,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.452953,0.001344,,,,,,,,,,0.001953,1.419158,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.452966,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.452980,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.452993,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.453459,0.082849,,,,,,,,,,0.500000,5.893629,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.453549,0.001216,,,,,,,,,,0.001953,1.568543,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.453562,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.453575,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.453601,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.454057,0.358308,,,,,,,,,,1.953125,5.323210,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.454423,0.001536,,,,,,,,,,0.003815,2.425319,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.871600,0.001344,,,,,,,,,,0.000107,0.077610,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
2.872357,0.094432,25,1,1,512,1,1,29,0.000000,0,,,"Tesla K40c (0)","1","7","void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int) [608]"
2.872455,0.259298,196,1,1,16,16,1,79,8.269531,0,,,"Tesla K40c (0)","1","7","cudnn_convolve_sgemm_sm35_ldg_nn_64x16x64x16x16 [629]"
2.872717,0.047585,64,1,1,512,1,1,18,0.000000,0,,,"Tesla K40c (0)","1","7","void cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>(float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>, cudnnTensorStruct, float const *, float, cudnnTensorStruct*, float, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const *, cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1> const , cudnn::detail::bn_fw_inf_1C11_kernel_new<float, float, bool=1, int=1>) [662]"
2.874122,0.033344,60,1,1,512,1,1,8,0.000000,0,,,"Tesla K40c (0)","1","7","void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=-2>(TensorInfo<ThresholdUpdateOutputIP<float>, float>, float, float) [673]"
2.874778,0.073217,196,1,1,1024,1,1,31,0.000000,0,,,"Tesla K40c (0)","1","7","void MaxPoolForward<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float*, long*) [715]"
2.875260,0.244675,98,2,1,8,8,1,63,2.250000,0,,,"Tesla K40c (0)","1","7","void cudnn::detail::implicit_convolve_sgemm<float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, cudnn::detail::implicit_convolve_sgemm<float, int=1024, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, float const *, kernel_conv_params, int, float, float, int, float const *, float const *, int, int) [747]"
