==1750== NVPROF is profiling process 1750, command: python resnet.py resnet10
==1750== Profiling application: python resnet.py resnet10
==1750== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
2.13394s  103.42us                    -               -         -         -         -  588.00KB  5.4220GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43694s  7.1360us                    -               -         -         -         -  36.750KB  4.9114GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43697s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43698s     800ns                    -               -         -         -         -      256B  305.18MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43699s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43701s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43706s  25.024us                    -               -         -         -         -  144.00KB  5.4879GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43710s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43711s     864ns                    -               -         -         -         -      256B  282.57MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43712s     800ns                    -               -         -         -         -      256B  305.18MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43714s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43718s  24.640us                    -               -         -         -         -  144.00KB  5.5734GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43721s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43723s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43724s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43725s     832ns                    -               -         -         -         -      256B  293.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43781s  47.648us                    -               -         -         -         -  288.00KB  5.7643GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43786s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43787s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43789s     832ns                    -               -         -         -         -      512B  586.88MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43790s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43801s  100.90us                    -               -         -         -         -  576.00KB  5.4444GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43812s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43814s     896ns                    -               -         -         -         -      512B  544.96MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43815s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43816s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43819s  6.2720us                    -               -         -         -         -  32.000KB  4.8657GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43820s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43821s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43823s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43824s     864ns                    -               -         -         -         -      512B  565.14MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43876s  188.83us                    -               -         -         -         -  1.1250MB  5.8180GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43895s     960ns                    -               -         -         -         -  1.0000KB  0.9934GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43896s     960ns                    -               -         -         -         -  1.0000KB  0.9934GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43898s     928ns                    -               -         -         -         -  1.0000KB  1.0277GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43899s     960ns                    -               -         -         -         -  1.0000KB  0.9934GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43949s  413.86us                    -               -         -         -         -  2.2500MB  5.3092GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43991s  1.2480us                    -               -         -         -         -  1.0000KB  782.50MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43993s     992ns                    -               -         -         -         -  1.0000KB  984.44MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43994s     960ns                    -               -         -         -         -  1.0000KB  0.9934GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43995s  1.0880us                    -               -         -         -         -  1.0000KB  897.58MB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.43999s  22.560us                    -               -         -         -         -  128.00KB  5.4109GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44002s     960ns                    -               -         -         -         -  1.0000KB  0.9934GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
2.44005s     928ns                    -               -         -         -         -  1.0000KB  1.0277GB/s   Tesla K40c (0)         1         7  [CUDA memcpy HtoD]
