==130== NVPROF is profiling process 130, command: python vgg_generator_RT.py 0
==130== Profiling application: python vgg_generator_RT.py 0
==130== Profiling result:
"Device","Context","Stream","Kernel","dram_write_transactions"
,,,,
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",2308
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",1124
"TITAN Xp (0)","1","23","trtwell_scudnn_128x64_relu_small_nn",430691
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",0
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_small_nn_v1",408238
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",2469
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_small_nn_v1",453580
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",2492
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_medium_nn_v1",450516
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",2512
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_medium_nn_v1",453532
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",2476
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_small_nn_v1",450256
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",2604
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_medium_nn_v1",452564
"TITAN Xp (0)","1","23","void cudnn::detail::implicit_convolve_sgemm<float, float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int)",1087325
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",449002
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",462571
"TITAN Xp (0)","1","23","cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",1041
"TITAN Xp (0)","1","23","maxwell_scudnn_128x64_relu_small_nn",448269
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",455314
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",462450
"TITAN Xp (0)","1","23","void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int)",11364
"TITAN Xp (0)","1","23","void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>*, kernel_conv_params, int, int, float, float, int, float const *, float const *)",1261296
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",457300
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",462706
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",0
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",0
"TITAN Xp (0)","1","23","trtwell_scudnn_128x128_relu_small_nn",168388
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1608
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_large_nn_v1",155199
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1684
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_large_nn_v1",154821
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1540
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_small_nn_v1",158721
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1756
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_small_nn_v1",165273
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1760
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_medium_nn_v1",159417
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1636
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_large_nn_v1",154413
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1624
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_medium_nn_v1",157289
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1660
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_small_nn_v1",156517
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1560
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_medium_nn_v1",159921
"TITAN Xp (0)","1","23","void cudnn::detail::implicit_convolve_sgemm<float, float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int)",643973
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",191528
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",199531
"TITAN Xp (0)","1","23","cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",0
"TITAN Xp (0)","1","23","maxwell_scudnn_128x128_relu_small_nn",169435
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",184366
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",199826
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",188
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",4
"TITAN Xp (0)","1","23","trtwell_scudnn_128x64_relu_small_nn",48654
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",921
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_small_nn_v1",66375
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",889
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_small_nn_v1",37620
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",958
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_medium_nn_v1",25610
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",946
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_medium_nn_v1",37596
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",978
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_small_nn_v1",25207
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",1005
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x64_relu_medium_nn_v1",39173
"TITAN Xp (0)","1","23","void cudnn::detail::implicit_convolve_sgemm<float, float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=512, int=6, int=8, int=3, int=3, int=5, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int)",66580
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",37972
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",63091
"TITAN Xp (0)","1","23","cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)",232
"TITAN Xp (0)","1","23","maxwell_scudnn_128x64_relu_small_nn",64475
"TITAN Xp (0)","1","23","void add_tensor_kernel_v3<int=2, float, float, int=128, int=1, int=1, int=4, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, float, float)",42359
"TITAN Xp (0)","1","23","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::relu_func<float, cudnnNanPropagation_t=1, bool=0>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",63074
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",0
"TITAN Xp (0)","1","7","dit::computeOffsetsKernel(dit::ComputeOffsetsParams)",0
"TITAN Xp (0)","1","23","trtwell_scudnn_128x128_relu_small_nn",6188
"TITAN Xp (0)","1","23","void fused::fusedConvolutionReluKernel<fused::SrcChwcPtr_FltTex_Reader<float, int=1, int=1, int=1>, fused::KpqkPtrWriter<float, int=1, int=1>, float, float, int=4, int=4, int=1, int=5, int=5, int=2, int=2>(fused::ConvolutionParams<floatSrcType, int=1, int=1Type>, float)",77110
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",364
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_large_nn_v1",6362
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",321
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_large_nn_v1",6291
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",360
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_small_nn_v1",6997
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",285
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x128_relu_small_nn_v1",5837
"TITAN Xp (0)","1","23","cask::computeOffsetsKernel(cask::ComputeOffsetsParams)",292
"TITAN Xp (0)","1","23","trt_maxwell_scudnn_128x32_relu_medium_nn_v1",6479
